IF2010,19:10:13,500,4553.2,55463,75960663780.000000,4553.2,2,4554,6
IF2011,19:10:14,0,4525,1397,1901133480.000000,4516,2,4525,1
IF2010,19:10:14,0,4553,55471,75971591100.000000,4552.8,1,4553.2,30
IF2011,19:10:14,500,4525,1398,1902490980.000000,4523.4,1,4524.8,1
IF2010,19:10:14,500,4551.8,55479,75982515660.000000,4550.6,4,4551.8,2
IF2011,19:10:15,0,4525,1398,1902490980.000000,4521.6,1,4524.6,1
IF2010,19:10:15,0,4551.8,55482,75986612280.000000,4551,1,4551.6,12
IF2011,19:10:15,500,4525,1398,1902490980.000000,4521.8,1,4524.4,1
IF2010,19:10:15,500,4551.6,55487,75993439680.000000,4551.2,1,4551.4,1
IF2011,19:10:16,0,4525,1398,1902490980.000000,4521.8,1,4524.4,1
IF2010,19:10:16,0,4551.8,55503,76015288320.000000,4551.8,3,4552.6,6
IF2011,19:10:16,500,4525,1398,1902490980.000000,4521.8,1,4524.4,1
IF2010,19:10:16,500,4552.6,55508,76022117100.000000,4552.2,1,4552.6,1
IF2011,19:10:17,0,4525,1398,1902490980.000000,4521.8,1,4525,1
IF2010,19:10:17,0,4553,55513,76028946360.000000,4552.6,2,4553,1
IF2011,19:10:17,500,4525,1398,1902490980.000000,4522,1,4528,2
IF2010,19:10:17,500,4552.8,55516,76033043940.000000,4552.8,2,4553,1
IF2011,19:10:18,0,4525,1398,1902490980.000000,4522.2,1,4526.6,1
IF2010,19:10:18,0,4552.8,55523,76042604880.000000,4552.8,1,4553.2,6
IF2011,19:10:18,500,4525,1398,1902490980.000000,4522.4,1,4526.4,1
IF2010,19:10:18,500,4552.6,55531,76053531120.000000,4552.2,1,4552.8,8
IF2011,19:10:19,0,4525,1398,1902490980.000000,4522.6,1,4526.4,1
IF2010,19:10:19,0,4552.2,55534,76057628040.000000,4551.8,1,4552.2,8
IF2011,19:10:19,500,4525,1398,1902490980.000000,4521.6,2,4526.2,1
IF2010,19:10:19,500,4552.2,55534,76057628040.000000,4551.6,4,4552.2,8
IF2011,19:10:20,0,4525,1398,1902490980.000000,4521.8,1,4525.8,1
IF2010,19:10:20,0,4552.2,55541,76067187660.000000,4552,1,4552.2,1
IF2011,19:10:20,500,4525,1398,1902490980.000000,4521.8,1,4525.6,1
IF2010,19:10:20,500,4552.4,55545,76072650480.000000,4552.4,1,4552.6,4
IF2011,19:10:21,0,4525,1398,1902490980.000000,4521.8,1,4525.4,1
IF2010,19:10:21,0,4552.6,55548,76076747820.000000,4552.4,2,4552.6,1
IF2011,19:10:21,500,4525,1398,1902490980.000000,4522,1,4525.2,1
IF2010,19:10:21,500,4552.2,55551,76080844980.000000,4552.2,2,4552.4,4
IF2011,19:10:22,0,4525,1398,1902490980.000000,4522.2,1,4525.2,1
IF2010,19:10:22,0,4552.2,55553,76083576300.000000,4552,1,4552.4,4
IF2011,19:10:22,500,4525,1398,1902490980.000000,4522.4,1,4525.2,1
IF2010,19:10:22,500,4551.6,55555,76086307380.000000,4551.6,3,4551.8,1
IF2011,19:10:23,0,4525,1398,1902490980.000000,4522.6,1,4525.2,1
IF2010,19:10:23,0,4551.6,55563,76097230860.000000,4551,1,4551.6,19
IF2011,19:10:23,500,4525,1398,1902490980.000000,4522.4,1,4525.2,1
IF2010,19:10:23,500,4550.8,55566,76101326580.000000,4550.6,6,4550.8,4
IF2011,19:10:24,0,4525,1398,1902490980.000000,4522.4,1,4524.8,5
IF2010,19:10:24,0,4550.6,55572,76109517660.000000,4550.4,1,4551.4,1
IF2011,19:10:24,500,4525,1398,1902490980.000000,4516,2,4522.6,1
IF2010,19:10:24,500,4550.6,55574,76112248020.000000,4550.8,1,4551.4,3
IF2011,19:10:25,0,4525,1398,1902490980.000000,4521.4,1,4522.4,1
IF2010,19:10:25,0,4551,55575,76113613320.000000,4550.6,2,4551.4,3
IF2011,19:10:25,500,4522.4,1399,1903847700.000000,4522.4,1,4522.6,1
IF2010,19:10:25,500,4551.4,55577,76116344160.000000,4550.8,1,4551.6,17
IF2011,19:10:26,0,4522.4,1399,1903847700.000000,4521.6,1,4522.6,1
IF2010,19:10:26,0,4551.4,55579,76119075000.000000,4551.4,1,4551.6,18
IF2011,19:10:26,500,4522.4,1399,1903847700.000000,4521.6,3,4522.6,1
IF2010,19:10:26,500,4551.4,55581,76121805840.000000,4551,1,4551.4,6
IF2011,19:10:27,0,4522.4,1399,1903847700.000000,4521.6,1,4522.6,1
